id,date,time,delivery,address_id
1,2015-01-01,11:38:36,1,28
2,2015-01-01,11:57:40,1,129
3,2015-01-01,12:12:28,1,72
4,2015-01-01,12:16:31,1,0
5,2015-01-01,12:21:30,1,37
6,2015-01-01,12:29:36,1,96
7,2015-01-01,12:50:37,1,122
8,2015-01-01,12:51:37,1,55
9,2015-01-01,12:52:01,1,43
10,2015-01-01,13:00:15,1,35
11,2015-01-01,13:02:59,0,-1
12,2015-01-01,13:04:41,1,67
13,2015-01-01,13:11:55,0,-1
14,2015-01-01,13:14:19,1,98
15,2015-01-01,13:33:00,1,77
16,2015-01-01,13:34:07,1,2
17,2015-01-01,13:53:00,1,47
18,2015-01-01,13:57:08,0,-1
19,2015-01-01,13:59:09,0,-1
20,2015-01-01,14:03:08,0,-1
21,2015-01-01,14:14:29,0,-1
22,2015-01-01,14:16:26,1,111
23,2015-01-01,14:19:03,1,47
24,2015-01-01,14:23:01,0,-1
25,2015-01-01,14:44:44,1,95
26,2015-01-01,14:54:26,1,94
27,2015-01-01,15:11:17,1,35
28,2015-01-01,15:35:46,1,95
29,2015-01-01,15:41:01,0,-1
30,2015-01-01,15:41:25,1,117
31,2015-01-01,15:50:18,0,-1
32,2015-01-01,15:53:18,1,64
33,2015-01-01,15:54:08,1,19
34,2015-01-01,16:21:21,0,-1
35,2015-01-01,16:32:04,1,7
36,2015-01-01,16:54:09,0,-1
37,2015-01-01,16:56:09,1,78
38,2015-01-01,17:03:00,0,-1
39,2015-01-01,17:07:23,0,-1
40,2015-01-01,17:14:36,1,94
41,2015-01-01,17:15:20,1,114
42,2015-01-01,17:28:09,0,-1
43,2015-01-01,17:38:34,1,33
44,2015-01-01,17:54:20,1,73
45,2015-01-01,17:55:48,1,47
46,2015-01-01,18:25:51,1,134
47,2015-01-01,18:26:34,1,116
48,2015-01-01,18:26:42,1,126
49,2015-01-01,18:33:00,1,53
50,2015-01-01,18:41:01,1,139
51,2015-01-01,18:48:28,1,74
52,2015-01-01,18:53:02,1,69
53,2015-01-01,18:54:17,1,34
54,2015-01-01,19:01:45,1,98
55,2015-01-01,19:03:19,0,-1
56,2015-01-01,19:07:00,1,138
57,2015-01-01,19:10:51,1,118
58,2015-01-01,19:30:40,0,-1
59,2015-01-01,19:40:08,1,67
60,2015-01-01,20:05:16,1,78
61,2015-01-01,20:08:43,0,-1
62,2015-01-01,20:50:16,1,76
63,2015-01-01,20:51:42,1,83
64,2015-01-01,20:52:08,1,54
65,2015-01-01,21:16:00,1,58
66,2015-01-01,21:47:55,0,-1
67,2015-01-01,22:03:40,1,42
68,2015-01-01,22:07:32,1,33
69,2015-01-01,22:12:13,1,68
70,2015-01-02,11:38:51,1,3
71,2015-01-02,11:40:50,1,115
72,2015-01-02,11:57:25,1,26
73,2015-01-02,11:58:56,0,-1
74,2015-01-02,12:01:12,1,70
75,2015-01-02,12:10:15,1,131
76,2015-01-02,12:21:17,0,-1
77,2015-01-02,12:22:46,1,19
78,2015-01-02,12:28:14,0,-1
79,2015-01-02,12:29:11,1,34
80,2015-01-02,12:35:38,1,85
81,2015-01-02,12:40:01,0,-1
82,2015-01-02,12:45:51,1,29
83,2015-01-02,12:53:27,1,116
84,2015-01-02,13:13:41,1,81
85,2015-01-02,13:34:49,1,19
86,2015-01-02,13:40:31,1,64
87,2015-01-02,14:01:02,0,-1
88,2015-01-02,14:10:08,0,-1
89,2015-01-02,14:30:19,1,35
90,2015-01-02,15:08:48,1,52
91,2015-01-02,15:14:43,1,5
92,2015-01-02,15:17:02,1,97
93,2015-01-02,15:29:31,1,102
94,2015-01-02,16:17:16,0,-1
95,2015-01-02,16:18:04,1,17
96,2015-01-02,16:21:20,1,135
97,2015-01-02,16:45:33,1,29
98,2015-01-02,17:18:18,1,52
99,2015-01-02,17:45:42,0,-1
100,2015-01-02,17:46:17,1,45
101,2015-01-02,17:51:33,1,96
102,2015-01-02,17:54:04,1,117
103,2015-01-02,18:02:09,1,138
104,2015-01-02,18:02:12,0,-1
105,2015-01-02,18:12:01,1,141
106,2015-01-02,18:12:13,1,102
107,2015-01-02,18:25:09,1,105
108,2015-01-02,18:25:25,1,112
109,2015-01-02,18:27:50,1,28
110,2015-01-02,18:36:19,1,122
111,2015-01-02,18:38:01,1,135
112,2015-01-02,18:41:40,1,48
113,2015-01-02,18:50:21,1,99
114,2015-01-02,18:59:32,1,84
115,2015-01-02,19:05:17,0,-1
116,2015-01-02,19:18:49,0,-1
117,2015-01-02,19:23:02,1,44
118,2015-01-02,19:26:59,1,95
119,2015-01-02,19:32:29,1,101
120,2015-01-02,19:35:07,1,93
121,2015-01-02,19:38:48,1,33
122,2015-01-02,19:50:19,1,129
123,2015-01-02,20:12:09,1,58
124,2015-01-02,20:12:34,1,2
125,2015-01-02,20:31:06,0,-1
126,2015-01-02,20:53:42,1,129
127,2015-01-02,20:58:23,1,63
128,2015-01-02,21:05:06,1,3
129,2015-01-02,21:13:02,1,115
130,2015-01-02,21:14:55,1,128
131,2015-01-02,21:33:10,1,27
132,2015-01-02,21:42:45,0,-1
133,2015-01-02,22:00:17,1,92
134,2015-01-02,22:13:24,1,93
135,2015-01-02,22:29:34,1,18
136,2015-01-02,22:32:49,1,107
137,2015-01-03,11:34:10,1,44
138,2015-01-03,11:44:50,0,-1
139,2015-01-03,11:57:39,1,4
140,2015-01-03,12:26:44,1,133
141,2015-01-03,13:16:01,1,110
142,2015-01-03,13:33:59,1,60
143,2015-01-03,13:41:36,1,3
144,2015-01-03,13:44:28,0,-1
145,2015-01-03,13:53:48,1,7
146,2015-01-03,14:22:10,1,62
147,2015-01-03,14:32:51,1,31
148,2015-01-03,14:40:42,1,136
149,2015-01-03,14:48:45,1,36
150,2015-01-03,14:49:58,0,-1
151,2015-01-03,15:09:34,1,50
152,2015-01-03,15:09:42,0,-1
153,2015-01-03,15:16:34,1,62
154,2015-01-03,15:22:43,0,-1
155,2015-01-03,15:28:59,1,70
156,2015-01-03,15:42:19,0,-1
157,2015-01-03,15:43:03,1,85
158,2015-01-03,15:54:30,1,51
159,2015-01-03,15:59:22,0,-1
160,2015-01-03,16:35:33,0,-1
161,2015-01-03,16:43:46,0,-1
162,2015-01-03,16:51:22,1,98
163,2015-01-03,16:54:54,1,119
164,2015-01-03,16:56:33,0,-1
165,2015-01-03,16:57:37,1,20
166,2015-01-03,16:58:51,0,-1
167,2015-01-03,17:00:49,0,-1
168,2015-01-03,17:02:27,1,11
169,2015-01-03,17:15:48,1,4
170,2015-01-03,17:21:31,1,36
171,2015-01-03,17:23:03,0,-1
172,2015-01-03,17:29:24,1,62
173,2015-01-03,17:35:30,1,10
174,2015-01-03,17:37:49,1,49
175,2015-01-03,17:50:51,1,61
176,2015-01-03,17:51:57,1,19
177,2015-01-03,17:54:36,0,-1
178,2015-01-03,18:15:03,1,120
179,2015-01-03,18:20:14,1,20
180,2015-01-03,18:33:34,1,20
181,2015-01-03,18:49:32,1,88
182,2015-01-03,18:50:10,1,79
183,2015-01-03,18:54:55,0,-1
184,2015-01-03,18:59:05,1,31
185,2015-01-03,19:08:33,1,23
186,2015-01-03,19:36:00,0,-1
187,2015-01-03,19:37:12,1,53
188,2015-01-03,20:08:39,1,63
189,2015-01-03,20:12:14,0,-1
190,2015-01-03,20:14:23,0,-1
191,2015-01-03,20:24:50,0,-1
192,2015-01-03,20:30:08,1,53
193,2015-01-03,20:55:47,1,30
194,2015-01-03,21:21:24,1,24
195,2015-01-03,21:25:20,1,37
196,2015-01-03,21:40:14,1,101
197,2015-01-03,21:47:48,1,53
198,2015-01-03,21:55:42,1,29
199,2015-01-03,22:10:38,1,53
200,2015-01-03,22:24:05,1,120
201,2015-01-03,22:29:59,1,104
202,2015-01-03,22:50:29,0,-1
203,2015-01-04,11:30:48,0,-1
204,2015-01-04,11:36:25,1,137
205,2015-01-04,11:43:54,1,40
206,2015-01-04,11:45:10,1,124
207,2015-01-04,12:03:58,0,-1
208,2015-01-04,12:12:05,0,-1
209,2015-01-04,12:29:17,1,75
210,2015-01-04,12:34:13,1,0
211,2015-01-04,12:54:20,0,-1
212,2015-01-04,13:16:03,1,79
213,2015-01-04,13:20:39,1,44
214,2015-01-04,13:39:16,1,68
215,2015-01-04,13:44:49,1,12
216,2015-01-04,14:31:56,1,36
217,2015-01-04,14:35:03,1,121
218,2015-01-04,14:35:11,0,-1
219,2015-01-04,14:42:01,1,140
220,2015-01-04,15:31:59,1,137
221,2015-01-04,15:33:18,1,98
222,2015-01-04,15:46:38,1,57
223,2015-01-04,16:08:20,1,4
224,2015-01-04,16:39:58,0,-1
225,2015-01-04,16:41:48,0,-1
226,2015-01-04,16:59:39,1,7
227,2015-01-04,17:24:39,1,60
228,2015-01-04,17:31:24,1,26
